Handle,Design code (product.metafields.custom.design_code),Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Compare At Price,Variant Price,Image Src,Image Position,Image Alt Text,Product Category,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status,IGI certificate number (product.metafields.custom.igi_certificate_number),IGI certificate (product.metafields.custom.igi_certificate),Price Breakdown slt (product.metafields.custom.price_breakdown_slt),Discount savings (product.metafields.custom.discount_savings),Offer text (product.metafields.custom.offer_text),Metal color (product.metafields.custom.metal_color),Diamond pcs (product.metafields.custom.diamond_pcs),Stone pcs (product.metafields.custom.stone_pcs)
PD00151,PD015896,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_5.jpg,5,Yellow Gold Blue Enamel Hummingbird Pendant,,,,,,,,,,,,,,,
PD00151,PD015896,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_6.png,6,Yellow Gold Blue Enamel Hummingbird Pendant,,,,,,,,,,,,,,,
RG0000155,RG022013,Yellow Gold Men's Diamond Channel Band Ring,"This impressive 18K yellow gold men's band ring combines bold design with diamond brilliance in perfect harmony. A channel of sparkling round diamonds is set into the centre of a wide, structured band with clean geometric detailing, creating a piece that exudes confidence and class. A timeless wedding band or milestone anniversary gift for the man who carries elegance as naturally as he carries strength.",Cavora World Ecom,Rings,"Rings, 18KT Yellow Gold",TRUE,Title,Default Title,RG0000155,5.891,1,98850,78669,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_1.png,1,Yellow Gold Men's Diamond Channel Band Ring,Apparel & Accessories > Jewelry > Rings,shopify,continue,manual,TRUE,TRUE,active,34J7899425,https://api.igi.org/viewpdf.php?r=34J7899425,"{""subtotal"":{""net"":""₹76378.00"",""gross"":""₹95971.20""},""making"":{""net"":""₹0.00"",""gross"":""₹15905.70""},""grandtotal"":{""net"":""₹78669"",""gross"":""₹98850""},""metals"":[{""gross"":""₹65315.50"",""net"":""₹65315.50"",""wt"":""5.866 g"",""name"":""18KT Yellow Gold"",""rate"":""₹11134.59/g""}],""tax"":""₹2291"",""diamonds"":[{""gross"":""₹14750.00"",""wt"":""0.125 ct"",""name"":""H-I/HI-SI RD - 10 pcs"",""net"":""₹11062.50""}]}",20.42%,Flat 25% OFF on Diamonds + Zero Making Charges,18KT Yellow Gold,10 pcs,
RG0000155,RG022013,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_2.jpg,2,Yellow Gold Men's Diamond Channel Band Ring,,,,,,,,,,,,,,,
RG0000155,RG022013,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_3.png,3,Yellow Gold Men's Diamond Channel Band Ring,,,,,,,,,,,,,,,
RG0000155,RG022013,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_4.png,4,Yellow Gold Men's Diamond Channel Band Ring,,,,,,,,,,,,,,,
RG0000155,RG022013,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_5.png,5,Yellow Gold Men's Diamond Channel Band Ring,,,,,,,,,,,,,,,
RG0000155,RG022013,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000155_6.png,6,Yellow Gold Men's Diamond Channel Band Ring,,,,,,,,,,,,,,,
ER00125,ER010366,Two-Tone Diamond Circle Stud Drop Earrings,"18K yellow gold earrings with a diamond cluster stud top and open circular drop with a pavé diamond crescent in white gold. Modern yet timeless — the two-tone interplay suits weddings, parties & everyday elegance. A refined gift for a refined woman.",Cavora World Ecom,Earring,"Earring, 18KT Yellow Gold",TRUE,Title,Default Title,ER00125,1.86,1,56060,42215,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_1.jpg,1,Two-Tone Diamond Circle Stud Drop Earrings,Apparel & Accessories > Jewelry > Earrings,shopify,continue,manual,TRUE,TRUE,active,34J7909925,https://api.igi.org/viewpdf.php?r=34J7909925,"{""subtotal"":{""net"":""₹40984.51"",""gross"":""₹54427.01""},""making"":{""net"":""₹0.00"",""gross"":""₹6510.00""},""grandtotal"":{""net"":""₹42215"",""gross"":""₹56060""},""metals"":[{""gross"":""₹20187.01"",""net"":""₹20187.01"",""wt"":""1.813 g"",""name"":""18KT Yellow Gold"",""rate"":""₹11134.59/g""}],""tax"":""₹1230"",""diamonds"":[{""gross"":""₹27730.00"",""wt"":""0.235 ct"",""name"":""H-I/SI RD - 36 pcs"",""net"":""₹20797.50""}]}",24.70%,Flat 25% OFF on Diamonds + Zero Making Charges,18KT Yellow Gold,36 pcs,
ER00125,ER010366,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_2.jpg,2,Two-Tone Diamond Circle Stud Drop Earrings,,,,,,,,,,,,,,,
ER00125,ER010366,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_3.jpg,3,Two-Tone Diamond Circle Stud Drop Earrings,,,,,,,,,,,,,,,
ER00125,ER010366,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_4.jpg,4,Two-Tone Diamond Circle Stud Drop Earrings,,,,,,,,,,,,,,,
ER00125,ER010366,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_5.jpg,5,Two-Tone Diamond Circle Stud Drop Earrings,,,,,,,,,,,,,,,
ER00125,ER010366,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00125_6.png,6,Two-Tone Diamond Circle Stud Drop Earrings,,,,,,,,,,,,,,,
RG0000174,RG024285,Yellow Gold Bypass Diamond Ring,"14K yellow gold bypass ring with two asymmetric pavé diamond bands creating movement and dimension. Modern sculptural form symbolises two paths joining together. Perfect for fashion-forward individuals at celebrations, engagements & special occasions.",Cavora World Ecom,Rings,"Rings, 14KT Yellow Gold",TRUE,Title,Default Title,RG0000174,2.983,1,59007,44695,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_1.png,1,Yellow Gold Bypass Diamond Ring,Apparel & Accessories > Jewelry > Rings,shopify,continue,manual,TRUE,TRUE,active,40J0199025,https://api.igi.org/viewpdf.php?r=40J0199025,"{""subtotal"":{""net"":""₹43393.35"",""gross"":""₹57288.45""},""making"":{""net"":""₹0.00"",""gross"":""₹8054.10""},""grandtotal"":{""net"":""₹44695"",""gross"":""₹59007""},""metals"":[{""gross"":""₹25870.35"",""net"":""₹25870.35"",""wt"":""2.943 g"",""name"":""14KT Yellow Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹1302"",""diamonds"":[{""gross"":""₹23364.00"",""wt"":""0.198 ct"",""name"":""H-I/SI RD - 57 pcs"",""net"":""₹17523.00""}]}",24.25%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT Yellow Gold,57 pcs,
RG0000174,RG024285,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_2.jpg,2,Yellow Gold Bypass Diamond Ring,,,,,,,,,,,,,,,
RG0000174,RG024285,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_3.jpg,3,Yellow Gold Bypass Diamond Ring,,,,,,,,,,,,,,,
RG0000174,RG024285,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_4.png,4,Yellow Gold Bypass Diamond Ring,,,,,,,,,,,,,,,
RG0000174,RG024285,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_5.png,5,Yellow Gold Bypass Diamond Ring,,,,,,,,,,,,,,,
RG0000174,RG024285,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0000174_6.png,6,Yellow Gold Bypass Diamond Ring,,,,,,,,,,,,,,,
BG0102,BG002065,Yellow Gold Greek Key Diamond Slim Bangle Set,"Minimal in form, maximum in elegance — this pair of 14K yellow gold slim bangles features a continuous row of brilliant-cut diamonds running along the face, paired with a refined Greek key motif engraved along the body. The clean lines and all-round sparkle make these bangles perfect for stacking or wearing solo, from daily elegance to festive grandeur. A timeless gift for weddings, anniversaries, or milestone birthdays. Gift her grace that never goes out of style.",Cavora World Ecom,Bangles,"Bangles, 14KT Yellow Gold",TRUE,Title,Default Title,BG0102,4.365,1,142655,107423,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/BG0102_1.png,1,Yellow Gold Greek Key Diamond Slim Bangle Set,Apparel & Accessories > Jewelry > Bracelets,shopify,continue,manual,TRUE,TRUE,active,40J0219525,https://api.igi.org/viewpdf.php?r=40J0219525,"{""subtotal"":{""net"":""₹104294.25"",""gross"":""₹138499.75""},""making"":{""net"":""₹0.00"",""gross"":""₹11785.50""},""grandtotal"":{""net"":""₹107423"",""gross"":""₹142655""},""metals"":[{""gross"":""₹37034.25"",""net"":""₹37034.25"",""wt"":""4.213 g"",""name"":""14KT Yellow Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹3129"",""diamonds"":[{""gross"":""₹89680.00"",""wt"":""0.760 ct"",""name"":""H-I/HI-SI RD - 80 pcs"",""net"":""₹67260.00""}]}",24.70%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT Yellow Gold,80 pcs,
BG0102,BG002065,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/BG0102_2.jpg,2,Yellow Gold Greek Key Diamond Slim Bangle Set,,,,,,,,,,,,,,,
BG0102,BG002065,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/BG0102_3.jpg,3,Yellow Gold Greek Key Diamond Slim Bangle Set,,,,,,,,,,,,,,,
BG0102,BG002065,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/BG0102_4.png,4,Yellow Gold Greek Key Diamond Slim Bangle Set,,,,,,,,,,,,,,,
BG0102,BG002065,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/BG0102_5.png,5,Yellow Gold Greek Key Diamond Slim Bangle Set,,,,,,,,,,,,,,,
BG0102,BG002065,,,,,,,,,,,,,,https://cdn.shopify.com/videos/c/o/v/c07945c721a7473e9525248aea721883.mp4,6,Yellow Gold Greek Key Diamond Slim Bangle Set,,,,,,,,,,,,,,,
NP0045,NP000252,Yellow Gold Bloom Cluster Diamond Ring,"Soft curves and brilliant sparkle come together in this beautiful 14K yellow gold ring with a rounded floral bloom design. Cluster diamonds sit at the heart of the layered petals, creating a dazzling effect that catches the light from every angle. Elegant enough for special occasions yet distinctive enough for everyday glamour — gift this to the one who loves timeless beauty.",Cavora World Ecom,Nose Pin,"Nose Pin, 14KT Yellow Gold",TRUE,Title,Default Title,NP0045,0.47,1,14930,10956,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_1.jpg,1,Yellow Gold Bloom Cluster Diamond Ring,Apparel & Accessories > Jewelry > Body Jewelry,shopify,continue,manual,TRUE,TRUE,active,35J6136825,https://api.igi.org/viewpdf.php?r=35J6136825,"{""subtotal"":{""net"":""₹10637.17"",""gross"":""₹14494.67""},""making"":{""net"":""₹0.00"",""gross"":""₹1645.00""},""grandtotal"":{""net"":""₹10956"",""gross"":""₹14930""},""metals"":[{""gross"":""₹3999.67"",""net"":""₹3999.67"",""wt"":""0.455 g"",""name"":""14KT Yellow Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹319"",""diamonds"":[{""gross"":""₹8850.00"",""wt"":""0.075 ct"",""name"":""H-I/HI-SI RD - 7 pcs"",""net"":""₹6637.50""}]}",26.62%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT Yellow Gold,7 pcs,
NP0045,NP000252,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_2.jpg,2,Yellow Gold Bloom Cluster Diamond Ring,,,,,,,,,,,,,,,
NP0045,NP000252,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_3.jpg,3,Yellow Gold Bloom Cluster Diamond Ring,,,,,,,,,,,,,,,
NP0045,NP000252,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_4.jpg,4,Yellow Gold Bloom Cluster Diamond Ring,,,,,,,,,,,,,,,
NP0045,NP000252,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_5.jpg,5,Yellow Gold Bloom Cluster Diamond Ring,,,,,,,,,,,,,,,
NP0045,NP000252,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0045_6.png,6,Yellow Gold Bloom Cluster Diamond Ring,,,,,,,,,,,,,,,
ER00255,SET00234-ER,Yellow Gold Leaf Rib Diamond Stud Earrings,"Clean lines, pure sparkle — these 18K yellow gold stud earrings feature an open teardrop leaf shape with fine ribbed gold detailing and a pavé-diamond diagonal strip for a touch of elegance. Lightweight and versatile, they are perfect for daily wear, office styling, and festive occasions. A timeless treasure, ideal for gifting to someone who loves subtle yet sophisticated jewellery.",Cavora World Ecom,Earring,"Earring, 18KT Yellow Gold",TRUE,Title,Default Title,ER00255,2.096,1,54909,42699,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_1.jpg,1,Yellow Gold Leaf Rib Diamond Stud Earrings,Apparel & Accessories > Jewelry > Earrings,shopify,continue,manual,TRUE,TRUE,active,36J8382425,https://api.igi.org/viewpdf.php?r=36J8382425,"{""subtotal"":{""net"":""₹41455.44"",""gross"":""₹53309.64""},""making"":{""net"":""₹0.00"",""gross"":""₹5659.20""},""grandtotal"":{""net"":""₹42699"",""gross"":""₹54909""},""metals"":[{""gross"":""₹22870.44"",""net"":""₹22870.44"",""wt"":""2.054 g"",""name"":""18KT Yellow Gold"",""rate"":""₹11134.59/g""}],""tax"":""₹1244"",""diamonds"":[{""gross"":""₹24780.00"",""wt"":""0.210 ct"",""name"":""H-I/SI RD - 46 pcs"",""net"":""₹18585.00""}]}",22.24%,Flat 25% OFF on Diamonds + Zero Making Charges,18KT Yellow Gold,46 pcs,
ER00255,SET00234-ER,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_2.jpg,2,Yellow Gold Leaf Rib Diamond Stud Earrings,,,,,,,,,,,,,,,
ER00255,SET00234-ER,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_3.jpg,3,Yellow Gold Leaf Rib Diamond Stud Earrings,,,,,,,,,,,,,,,
ER00255,SET00234-ER,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_4.jpg,4,Yellow Gold Leaf Rib Diamond Stud Earrings,,,,,,,,,,,,,,,
ER00255,SET00234-ER,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_5.jpg,5,Yellow Gold Leaf Rib Diamond Stud Earrings,,,,,,,,,,,,,,,
ER00255,SET00234-ER,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00255_6.png,6,Yellow Gold Leaf Rib Diamond Stud Earrings,,,,,,,,,,,,,,,
RG0001543,SET00233-RG,White Gold Ruby Swirl Pavé Diamond Ring,"Daring, romantic, and utterly breathtaking — this 14K white gold ring features an elegant swirling loop design with pavé-set diamonds framing a brilliant pear-cut ruby. The understated band flows seamlessly into the bold top, making it ideal for engagements, anniversaries, and milestone celebrations. A timeless treasure, perfect for gifting to someone who carries love and passion in every step.",Cavora World Ecom,Rings,"Rings, 14KT White Gold",TRUE,Title,Default Title,RG0001543,1.721,1,62726,46070,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_1.jpg,1,White Gold Ruby Swirl Pavé Diamond Ring,Apparel & Accessories > Jewelry > Rings,shopify,continue,manual,TRUE,TRUE,active,35J6128325,https://api.igi.org/viewpdf.php?r=35J6128325,"{""subtotal"":{""net"":""₹44727.85"",""gross"":""₹60899.35""},""making"":{""net"":""₹0.00"",""gross"":""₹6023.50""},""grandtotal"":{""net"":""₹46070"",""gross"":""₹62726""},""metals"":[{""gross"":""₹14161.45"",""net"":""₹14161.45"",""wt"":""1.611 g"",""name"":""14KT White Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹1342"",""diamonds"":[{""gross"":""₹122.40"",""wt"":""0.204 ct"",""name"":""GEN/C MIX PEAR - 1 pcs"",""net"":""₹122.40""},{""gross"":""₹37052.00"",""wt"":""0.314 ct"",""name"":""H-I/SI RD - 41 pcs"",""net"":""₹27789.00""},{""gross"":""₹3540.00"",""wt"":""0.030 ct"",""name"":""H-I/HI-SI RD - 3 pcs"",""net"":""₹2655.00""}]}",26.55%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT White Gold,44 pcs,1 pcs
RG0001543,SET00233-RG,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_2.jpg,2,White Gold Ruby Swirl Pavé Diamond Ring,,,,,,,,,,,,,,,
RG0001543,SET00233-RG,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_3.jpg,3,White Gold Ruby Swirl Pavé Diamond Ring,,,,,,,,,,,,,,,
RG0001543,SET00233-RG,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_4.jpg,4,White Gold Ruby Swirl Pavé Diamond Ring,,,,,,,,,,,,,,,
RG0001543,SET00233-RG,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_5.jpg,5,White Gold Ruby Swirl Pavé Diamond Ring,,,,,,,,,,,,,,,
RG0001543,SET00233-RG,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/RG0001543_6.png,6,White Gold Ruby Swirl Pavé Diamond Ring,,,,,,,,,,,,,,,
PD00168,PD015878,Yellow Gold Deer Heart Pavé Diamond Pendant,"Tender and full of love, this 14K yellow and white gold pendant combines a polished deer silhouette with a diamond-studded heart in a design that melts hearts instantly. The pavé-set diamonds on the lower half add brilliance while the smooth golden deer above brings a sense of gentle elegance. Gifting this pendant is a beautiful way to express love on anniversaries, birthdays, or special occasions.",Cavora World Ecom,Pendant,"Pendant, 14KT Yellow Gold",TRUE,Title,Default Title,PD00168,0.984,1,22633,16504,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_1.jpg,1,Yellow Gold Deer Heart Pavé Diamond Pendant,Apparel & Accessories > Jewelry > Earrings,shopify,continue,manual,TRUE,TRUE,active,38J4619225,https://api.igi.org/viewpdf.php?r=38J4619225,"{""subtotal"":{""net"":""₹16022.88"",""gross"":""₹21974.38""},""making"":{""net"":""₹0.00"",""gross"":""₹3444.00""},""grandtotal"":{""net"":""₹16504"",""gross"":""₹22633""},""metals"":[{""gross"":""₹8500.38"",""net"":""₹8500.38"",""wt"":""0.967 g"",""name"":""14KT Yellow Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹481"",""diamonds"":[{""gross"":""₹10030.00"",""wt"":""0.085 ct"",""name"":""H-I/SI RD - 20 pcs"",""net"":""₹7522.50""}]}",27.08%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT Yellow Gold,20 pcs,
PD00168,PD015878,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_2.jpg,2,Yellow Gold Deer Heart Pavé Diamond Pendant,,,,,,,,,,,,,,,
PD00168,PD015878,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_3.jpg,3,Yellow Gold Deer Heart Pavé Diamond Pendant,,,,,,,,,,,,,,,
PD00168,PD015878,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_4.jpg,4,Yellow Gold Deer Heart Pavé Diamond Pendant,,,,,,,,,,,,,,,
PD00168,PD015878,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_5.png,5,Yellow Gold Deer Heart Pavé Diamond Pendant,,,,,,,,,,,,,,,
PD00168,PD015878,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00168_6.png,6,Yellow Gold Deer Heart Pavé Diamond Pendant,,,,,,,,,,,,,,,
ER00462,ER010455,Two-Tone Diamond Starburst Petal Stud Earrings,"18K yellow gold studs with a starburst of marquise and arc petals, each pavé-set with diamonds in white gold around a central solitaire. Lightweight and secure — ideal for all-day wear and festive occasions. A timeless gift for women who love delicate dazzle.",Cavora World Ecom,Earring,"Earring, 18KT Yellow Gold",TRUE,Title,Default Title,ER00462,3.015,1,95240,70509,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00462_1.jpg,1,Two-Tone Diamond Starburst Petal Stud Earrings,Apparel & Accessories > Jewelry > Earrings,shopify,continue,manual,TRUE,TRUE,active,35J6130725,https://api.igi.org/viewpdf.php?r=35J6130725,"{""subtotal"":{""net"":""₹68454.98"",""gross"":""₹92466.48""},""making"":{""net"":""₹0.00"",""gross"":""₹8140.50""},""grandtotal"":{""net"":""₹70509"",""gross"":""₹95240""},""metals"":[{""gross"":""₹20841.98"",""net"":""₹20841.98"",""wt"":""2.907 g"",""name"":""18KT Yellow Gold"",""rate"":""₹11134.59/g""}],""tax"":""₹2054"",""diamonds"":[{""gross"":""₹8850.00"",""wt"":""0.075 ct"",""name"":""H-I/SI RD - 12 pcs"",""net"":""₹6637.50""},{""gross"":""₹54634.00"",""wt"":""0.463 ct"",""name"":""H-I/HI-SI RD - 38 pcs"",""net"":""₹40975.50""}]}",25.97%,Flat 25% OFF on Diamonds + Zero Making Charges,18KT Yellow Gold,50 pcs,
ER00462,ER010455,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00462_2.jpg,2,Two-Tone Diamond Starburst Petal Stud Earrings,,,,,,,,,,,,,,,
ER00462,ER010455,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00462_3.jpg,3,Two-Tone Diamond Starburst Petal Stud Earrings,,,,,,,,,,,,,,,
ER00462,ER010455,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00462_4.jpg,4,Two-Tone Diamond Starburst Petal Stud Earrings,,,,,,,,,,,,,,,
ER00462,ER010455,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/ER00462_5.jpg,5,Two-Tone Diamond Starburst Petal Stud Earrings,,,,,,,,,,,,,,,
